time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
18093862656437,831.122,-454.587,987.157,340.495,-12.1769,67.8732
18093862881418,831.122,-454.587,987.157,340.495,-12.1769,67.8732
18093863101400,831.122,-454.587,987.157,340.495,-12.1769,67.8732
18093863320030,831.122,-454.587,987.157,340.495,-12.1769,67.8732
18093863539085,831.122,-454.587,987.157,340.495,-12.1769,67.8732
18093863757826,831.122,-454.587,987.157,0,0,0
18093863974048,831.122,-454.587,987.157,0,0,0
18093864218567,831.122,-454.587,987.157,0,0,0
18093864433881,831.122,-454.587,987.157,0,0,0
18093864649844,831.122,-454.587,987.157,0,0,0
18093864865474,831.122,-454.587,987.157,0,0,0
18093865080641,831.122,-454.587,987.157,0,0,0
18093865296252,831.122,-454.587,987.157,0,0,0
18093865511456,831.122,-454.587,987.157,0,0,0
18093865726400,831.122,-454.587,987.157,0,0,0
18093865941789,831.122,-454.587,987.157,0,0,0
18093866156696,831.122,-454.587,987.157,0,0,0
18093866372030,831.122,-454.587,987.157,0,0,0
18093866587363,831.122,-454.587,987.157,0,0,0
18093866802418,831.122,-454.587,987.157,0,0,0
18093867017585,831.122,-454.587,987.157,0,0,0
18093867261789,831.122,-454.587,987.157,0,0,0
18093867478437,831.122,-454.587,987.157,0,0,0
18093867693752,831.122,-454.587,987.157,0,0,0
18093867908604,831.122,-454.587,987.157,0,0,0
18093868140993,831.122,-454.587,987.157,0,0,0
18093868365937,831.122,-454.587,987.157,0,0,0
18093868581567,831.122,-454.587,987.157,0,0,0
18093868796900,831.122,-454.587,987.157,0,0,0
18093869012585,831.122,-454.587,987.157,0,0,0
18093869227937,831.122,-454.587,987.157,0,0,0
18093869443474,831.122,-454.587,987.157,0,0,0
18093869658493,831.122,-454.587,987.157,0,0,0
18093869874122,831.122,-454.587,987.157,0,0,0
18093870089141,831.122,-454.587,987.157,0,0,0
18093870303956,831.122,-454.587,987.157,0,0,0
18093870519363,831.122,-454.587,987.157,0,0,0
18093870734937,831.122,-454.587,987.157,346.477,-6.34785,46.4187
18093870952344,831.122,-454.587,987.157,346.477,-6.34785,46.4187
18093871169178,831.122,-454.587,987.157,346.477,-6.34785,46.4187
18093871385622,831.122,-454.587,987.157,346.477,-6.34785,46.4187
18093871602937,831.122,-454.587,987.157,346.477,-6.34785,46.4187
18093871826437,831.122,-454.587,987.157,346.477,-6.34785,46.4187
18093872065863,831.122,-454.587,987.157,346.477,-6.34785,46.4187
18093872293400,831.122,-454.587,987.157,346.477,-6.34785,46.4187
18093872510326,840.643,-383.542,1205.42,346.477,-6.34785,46.4187
18093872727937,840.643,-383.542,1205.42,346.477,-6.34785,46.4187
18093872945048,840.643,-383.542,1205.42,346.477,-6.34785,46.4187
18093873162196,840.643,-383.542,1205.42,346.477,-6.34785,46.4187
18093873380270,840.643,-383.542,1205.42,346.477,-6.34785,46.4187
18093873597418,840.643,-383.542,1205.42,346.477,-6.34785,46.4187
18093873814715,840.643,-383.542,1205.42,346.477,-6.34785,46.4187
18093874032252,840.643,-383.542,1205.42,346.477,-6.34785,46.4187
18093874249900,840.643,-383.542,1205.42,346.477,-6.34785,46.4187
18093874467418,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093874685122,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093874903085,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093875121048,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093875344141,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093875562715,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
18093875781196,840.643,-383.542,1205.42,318.766,-11.9327,44.6181
