Dictionary,Rotation Vector,Translation Vector
0,[[[-0.58616577 -3.17446102  0.84907877]]],[[[-0.52607149 -0.22150065  1.14217063]]]
0,[[[-0.57766761 -3.145193    0.89717169]]],[[[-0.52782036 -0.22012654  1.14147004]]]
0,[[[ 0.50191286  2.80167799 -0.77655987]]],[[[-0.53146342 -0.22032833  1.14576214]]]
0,[[[ 0.513144    2.78380675 -0.81231735]]],[[[-0.53389865 -0.22023512  1.14743121]]]
0,[[[ 0.50055035  2.81379316 -0.74944046]]],[[[-0.54446356 -0.22363391  1.16739172]]]
0,[[[-0.5666051  -3.18014397  0.86809836]]],[[[-0.54793986 -0.22492706  1.17303324]]]
0,[[[-0.5669396  -3.18051957  0.86772727]]],[[[-0.54890579 -0.22497435  1.17328033]]]
0,[[[-0.58139763 -3.16997139  0.91372562]]],[[[-0.54944231 -0.22477161  1.17443231]]]
0,[[[ 0.50991962  2.80851618 -0.75971649]]],[[[-0.55652034 -0.22692963  1.19138517]]]
0,[[[ 0.51001292  2.80821275 -0.762136  ]]],[[[-0.55575835 -0.22593168  1.19067817]]]
0,[[[ 0.50801024  2.82198484 -0.7349129 ]]],[[[-0.5666674  -0.22929876  1.21309645]]]
0,[[[ 0.5216556   2.7886478  -0.80107988]]],[[[-0.55748676 -0.22412396  1.19253514]]]
0,[[[-0.57405938 -3.17996585  0.85147806]]],[[[-0.5716554  -0.22817013  1.22000008]]]
0,[[[ 0.51425399  2.80496888 -0.79564708]]],[[[-0.56451353 -0.22353664  1.20335681]]]
0,[[[ 0.48823358  2.80022389 -0.78137054]]],[[[-0.57346508 -0.22583422  1.22291613]]]
0,[[[-0.58992065 -3.16977159  0.90285466]]],[[[-0.57248232 -0.22451627  1.22177112]]]
0,[[[-0.58970648 -3.16949669  0.90399622]]],[[[-0.57152554 -0.22360245  1.22161934]]]
0,[[[-0.57466545 -3.15975755  0.89096787]]],[[[-0.57493229 -0.2244743   1.23127439]]]
0,[[[ 0.52977514  2.79399986 -0.79258436]]],[[[-0.57795647 -0.22541678  1.24015229]]]
0,[[[-0.56126013 -3.15996982  0.90328763]]],[[[-0.579973   -0.22582709  1.24739442]]]
0,[[[ 0.50470412  2.77485794 -0.80523909]]],[[[-0.57446025 -0.2226014   1.23699644]]]
0,[[[ 0.50257025  2.78836133 -0.77842821]]],[[[-0.58532503 -0.22606506  1.2613646 ]]]
0,[[[-0.58502642 -3.15302539  0.90906665]]],[[[-0.58330785 -0.22414794  1.25701202]]]
0,[[[-0.59583075 -3.16609091  0.89160865]]],[[[-0.58887426 -0.22562714  1.27049646]]]
0,[[[ 0.50873116  2.78137489 -0.75864473]]],[[[-0.59104105 -0.22576211  1.27517778]]]
0,[[[ 0.51235633  2.78212073 -0.79391404]]],[[[-0.59629974 -0.2275697   1.28802717]]]
0,[[[-0.59121239 -3.17027987  0.857138  ]]],[[[-0.5992406  -0.22825033  1.29589056]]]
0,[[[ 0.52047397  2.76222498 -0.8021143 ]]],[[[-0.58951096 -0.22449967  1.27587261]]]
0,[[[-0.60709163 -3.15835712  0.90885806]]],[[[-0.59884363 -0.22799039  1.29707081]]]
0,[[[ 0.51197496  2.78160459 -0.7959288 ]]],[[[-0.59428521 -0.2256457   1.28770882]]]
0,[[[ 0.51006583  2.7958654  -0.76684262]]],[[[-0.60704751 -0.2293484   1.31431846]]]
0,[[[-0.60787042 -3.15904791  0.91083497]]],[[[-0.60007202 -0.22527637  1.29769458]]]
0,[[[ 0.51618264  2.77972647 -0.83325088]]],[[[-0.60210519 -0.22468381  1.30107113]]]
0,[[[-0.59315332 -3.15071118  0.89514019]]],[[[-0.607072   -0.22555306  1.31025335]]]
0,[[[ 0.52298884  2.77363063 -0.81040481]]],[[[-0.61005422 -0.22642393  1.31670112]]]
0,[[[ 0.50017397  2.75468636 -0.85841916]]],[[[-0.6137661  -0.22798182  1.32575939]]]
0,[[[-0.60977387 -3.18404749  0.93430184]]],[[[-0.61775999 -0.23015369  1.33700449]]]
0,[[[-0.61994692 -3.15120656  0.92813944]]],[[[-0.6115623  -0.22772199  1.32565417]]]
0,[[[-0.58150529 -3.1597278   0.93804368]]],[[[-0.61497843 -0.22868958  1.33411222]]]
0,[[[-0.58150529 -3.1597278   0.93804368]]],[[[-0.61497843 -0.22868958  1.33411222]]]
0,[[[-0.59360647 -3.17553777  0.91716348]]],[[[-0.62319549 -0.23146812  1.35034544]]]
0,[[[-0.57748522 -3.16555393  0.89966874]]],[[[-0.62970997 -0.23459626  1.36284325]]]
