Gyro t,Gyro X, Gyro Y, Gyro Z,Accel t, Accel X, Accel Y, Accel Z 
17918210651438,0.0275277,-0.090701,0.140996,17918210613012,0,0.687744,-2.75098
17918210734992,0.0275277,-0.090701,0.140996,17918210696530,0,0.687744,-2.75098
17918210818324,0.0275277,-0.090701,0.140996,17918210779917,0,0.687744,-2.75098
17918210901767,0.0275277,-0.090701,0.140996,17918210863342,0,0.687744,-2.75098
17918210985340,0.0275277,-0.090701,0.140996,17918210946859,0,0.687744,-2.75098
17918211068802,0.0275277,-0.090701,0.140996,17918211030358,0,0.687744,-2.75098
17918211152189,0.0275277,-0.090701,0.140996,17918211113782,0,0.687744,-2.75098
17918211235632,0.0275277,-0.090701,0.140996,17918211197188,0,0.687744,-2.75098
17918211319038,0.0275277,-0.090701,0.140996,17918211280632,0,0.687744,-2.75098
17918211402445,0.0275277,-0.090701,0.140996,17918211364056,0,0.687744,-2.75098
17918211485869,0.0275277,-0.090701,0.140996,17918211447444,0,0.687744,-2.75098
17918211569479,0.0275277,-0.090701,0.140996,17918211530998,0,0.687744,-2.75098
17918211652959,0.0275277,-0.090701,0.140996,17918211614552,0,0.687744,-2.75098
17918211736384,0.0275277,-0.090701,0.140996,17918211697977,0,0.687744,-2.75098
17918212071582,0.0275277,-0.090701,0.140996,17918212030379,0,0.687744,-2.75098
17918212159636,0.0275277,-0.090701,0.140996,17918212121156,0,0.687744,-2.75098
17918212243431,0.0275277,-0.090701,0.140996,17918212204969,0,0.687744,-2.75098
17918212327338,0.0275277,-0.090701,0.140996,17918212288894,0,0.687744,-2.75098
17918212411003,0.0275277,-0.090701,0.140996,17918212372559,0,0.687744,-2.75098
17918212494816,0.0275277,-0.090701,0.140996,17918212456299,0,0.687744,-2.75098
17918212578445,0.0275277,-0.090701,0.140996,17918212540038,0,0.687744,-2.75098
17918212661999,0.0275277,-0.090701,0.140996,17918212623555,0,0.687744,-2.75098
17918212745627,0.0275277,-0.090701,0.140996,17918212707035,0,0.687744,-2.75098
