Time,xQTM,yQTM,zQTM,xCV0,yCV0,zCV0,v0R11,v0R12,v0R13,v0R21,v0R22,v0R23,v0R31,v0R32,v0R33,v1R11,v1R12,v1R13,v1R21,v1R22,v1R23,v1R31,v1R32,v1R33,qtmR11,qtmR12,qtmR13,qtmR21,qtmR22,qtmR23,qtmR31,qtmR32,qtmR33,xCV1,yCV1,zCV1
52.5127394090232,0.5094340500000001,-0.009009590000000012,1.06728174,0.497977,0.03729797,1.0794594,0.5387468,-0.8339776,-0.119303204,-0.8363434,-0.54648465,0.043407384,-0.10139816,0.07639286,-0.99190855,0.44929257,-0.5852344,-0.67500883,-0.5852344,-0.527573,-0.10379822,-0.67500883,0.61576575,-0.7304718,0.5338,-0.83322,-0.14422,-0.81638,-0.55225,0.16896,-0.22043,0.02754,-0.97501,0.49768063,0.03722301,1.0795476
52.529583752009785,0.5096063399999999,-0.00769497999999999,1.06673722,0.50054145,0.035143517,1.084092,0.5748596,-0.8053865,-0.14453043,-0.81818044,-0.56343436,-0.11455372,0.010826611,0.18410428,-0.9828471,0.3849218,-0.6486121,-0.65661067,-0.6486121,-0.55240846,0.058210194,-0.65661067,0.52359074,-0.75198007,0.53311,-0.83368,-0.14411,-0.81655,-0.55159,0.17029,-0.22146,0.02689,-0.9748,0.50023204,0.035226163,1.084092
52.54629190202104,0.50993539,-0.0056448600000000015,1.06571712,0.4989702,0.032874424,1.0796909,0.53936774,-0.8334762,-0.119999476,-0.8360834,-0.5470302,0.04150247,-0.10023466,0.07794448,-0.9919061,0.44481403,-0.58692396,-0.6765063,-0.58692396,-0.53109187,-0.09299246,-0.6765063,0.61111516,-0.730542,0.54063,-0.82906,-0.14279,-0.81218,-0.55861,0.16828,-0.21928,0.025,-0.97534,0.49858713,0.032800455,1.0795923
52.56305211901781,0.50997469,-0.0032691000000000248,1.06447411,0.49971327,0.031045692,1.0801116,0.44228765,-0.5868033,-0.6782651,-0.8419744,-0.5321905,-0.08861392,-0.3089673,0.6102747,-0.72945464,0.5401079,-0.8332828,-0.11799656,-0.8332828,-0.5474113,0.03944262,-0.11799656,0.077334024,-0.99223036,0.53867,-0.83017,-0.14369,-0.81321,-0.55691,0.16893,-0.22026,0.02585,-0.9751,0.49980956,0.03109806,1.0795858
52.579888482025126,0.50992727,-0.0021818299999999957,1.0638635300000001,0.49976224,0.02927752,1.0802172,0.44115183,-0.587766,-0.6781712,-0.84161913,-0.5332976,-0.085269935,-0.3115483,0.6083788,-0.7299403,0.5402853,-0.83312374,-0.11830766,-0.83312374,-0.5475784,0.038911942,-0.11830766,0.077863805,-0.99221426,0.53805,-0.8304,-0.14472,-0.81348,-0.55653,0.16892,-0.22081,0.02683,-0.97495,0.499859,0.029328655,1.079693
52.59663318202365,0.50972357,-0.00014829000000002313,1.06275414,0.5141071,0.027834699,1.1096407,0.5280259,-0.81453437,-0.24025485,-0.8408144,-0.54116195,-0.013222501,-0.11924661,0.20899157,-0.9706198,0.44843596,-0.6756812,-0.5851155,-0.6756812,-0.53364414,-0.03146475,-0.5851155,0.5086048,-0.81033933,0.53631,-0.8312,-0.14657,-0.81445,-0.55522,0.16852,-0.22145,0.02899,-0.97474,0.5138969,0.027823532,1.1096407
52.61336780199781,0.50937028,0.0016028899999999957,1.06185825,0.5016849,0.02580945,1.0823607,0.4459374,-0.6696193,-0.59392744,-0.84211665,-0.5387199,-0.024908824,-0.3032811,0.5112639,-0.80413294,0.5348324,-0.81319827,-0.22948377,-0.81319827,-0.54604447,-0.017096931,-0.22948377,0.20135541,-0.9731623,0.53476,-0.83183,-0.14867,-0.81514,-0.55417,0.16863,-0.22266,0.03101,-0.9744,0.501764,0.02580787,1.0820413
52.63016307502403,0.50897338,0.0030758399999999964,1.0613969600000002,0.4978641,0.024337383,1.0744318,0.519959,-0.8460418,-0.1177112,-0.8486981,-0.52728957,0.04095504,-0.096717566,0.07860633,-0.992203,0.4245873,-0.59785146,-0.6799259,-0.59785146,-0.5151706,-0.07990316,-0.6799259,0.614144,-0.72891444,0.53351,-0.83255,-0.14906,-0.81588,-0.55304,0.16879,-0.22296,0.03157,-0.97432,0.49752158,0.0242739,1.0744318
52.64701669602073,0.50877079,0.003714200000000001,1.06136604,0.5015045,0.023139896,1.082319,0.5464696,-0.8252942,-0.1423393,-0.8360311,-0.5475775,-0.03479762,-0.049223527,0.13801593,-0.9892061,0.40462422,-0.62958556,-0.66325057,-0.62958556,-0.5383863,-0.003036026,-0.66325057,0.56014484,-0.7483913,0.53257,-0.83328,-0.14839,-0.81657,-0.55198,0.16892,-0.22266,0.03121,-0.9744,0.50112987,0.023150517,1.0821952
52.66378161800094,0.5083540799999999,0.004715319999999967,1.06169571,0.49822322,0.022124141,1.0777922,0.48027185,-0.621261,-0.61917186,-0.8365725,-0.5365981,-0.11049403,-0.26360077,0.57104933,-0.7774428,0.5247496,-0.8291324,-0.19281432,-0.8291324,-0.545677,0.07502967,-0.19281432,0.121556826,-0.9783625,0.5321,-0.83388,-0.14668,-0.81698,-0.55115,0.16962,-0.22229,0.02958,-0.97453,0.49839413,0.022216562,1.0775903
