Time,xQTM,yQTM,zQTM,xCV,yCV,zCV,v0R11,v0R12,v0R13,v0R21,v0R22,v0R23,v0R31,v0R32,v0R33,v1R11,v1R12,v1R13,v1R21,v1R22,v1R23,v1R31,v1R32,v1R33,qtmR11,qtmR12,qtmR13,qtmR21,qtmR22,qtmR23,qtmR31,qtmR32,qtmR33
122.93333381498815,0.20746802,0.12651712999999998,0.4390393400000001,0.18967357,-0.10049942,0.45876554,-0.7581712,-0.24881609,0.6027163,0.053045433,0.89773357,0.43733352,-0.6498943,0.36354503,-0.6674372,-0.09674758,-0.29185554,-0.95155674,-0.29185554,0.920596,-0.25203028,-0.95155674,0.25946736,-0.17612635,-0.74459,0.07787,-0.66296,-0.26177,0.87956,0.39731,0.61406,0.46938,-0.63452
122.950107304001,0.20580568,0.13005928,0.43661302999999996,0.1897213,-0.105136715,0.45934165,-0.7639339,-0.2566185,0.5920743,0.042966392,0.89526135,0.4434648,-0.6438625,0.36421707,-0.6728945,-0.10846971,-0.29217502,-0.9501937,-0.29217502,0.91499275,-0.24473338,-0.9501937,0.27824813,-0.19297019,-0.74543,0.07847,-0.66195,-0.2627,0.87809,0.39993,0.61263,0.47201,-0.63395
122.96690484898863,0.20487925,0.13173677,0.43535502000000004,0.18856828,-0.10826076,0.45745015,-0.76206785,-0.25703788,0.59429294,0.042146403,0.8961932,0.44165763,-0.646124,0.3616204,-0.6721268,-0.10982622,-0.2866527,-0.9517187,-0.2866527,0.91317034,-0.23675762,-0.9517187,0.28974152,-0.19539042,-0.7466,0.07894,-0.66057,-0.26309,0.87696,0.40214,0.61104,0.47403,-0.63397
122.98370083500049,0.20297733,0.13505983,0.43280223000000007,0.18619105,-0.111177556,0.45257178,-0.7579923,-0.25204477,0.6015988,0.049199138,0.89760435,0.43804786,-0.65040535,0.36163503,-0.6679768,-0.10544758,-0.27639225,-0.95524246,-0.27639225,0.9121883,-0.2262186,-0.95524246,0.30252254,-0.19062272,-0.74713,0.07941,-0.65991,-0.2634,0.87618,0.40364,0.61026,0.47539,-0.63371
123.00064007399487,0.20090868,0.1383153,0.4302216900000002,0.1861038,-0.11494228,0.45281297,-0.7634508,-0.26007336,0.5911892,0.037952513,0.895697,0.44304228,-0.64474994,0.3606781,-0.6739502,-0.11688082,-0.27691695,-0.95375884,-0.27691695,0.9061186,-0.21871077,-0.95375884,0.31979078,-0.20617887,-0.74712,0.08031,-0.65982,-0.26289,0.87603,0.4043,0.6105,0.47552,-0.63338
123.01739808599814,0.19977314000000002,0.13987523,0.4289231,0.1844243,-0.11773695,0.45007578,-0.7657689,-0.26395547,0.58645165,0.03619542,0.8927567,0.4490828,-0.6420965,0.36512047,-0.6740913,-0.12515165,-0.27899107,-0.9521035,-0.27899107,0.9023679,-0.21534702,-0.9521035,0.3284755,-0.21708204,-0.74797,0.08056,-0.65883,-0.2632,0.87523,0.40583,0.60932,0.47695,-0.63344
123.03411904198583,0.19737452,0.14293446999999998,0.42636896,0.18169932,-0.119732775,0.4451968,-0.7612307,-0.25971332,0.59420264,0.043677934,0.893684,0.44656587,-0.64700854,0.3658932,-0.668956,-0.12182994,-0.2720691,-0.95453435,-0.2720691,0.9018381,-0.2087668,-0.95453435,0.33565807,-0.21279229,-0.74937,0.08073,-0.65721,-0.26445,0.87346,0.40882,0.60705,0.48016,-0.6332
123.05087731499225,0.19486424,0.14585563999999998,0.42391249,0.17985494,-0.12268034,0.44334346,-0.7585998,-0.26049662,0.5972167,0.043432035,0.89434373,0.44526726,-0.6501076,0.363718,-0.6671351,-0.12491751,-0.26763657,-0.955388,-0.26763657,0.8992112,-0.2010949,-0.955388,0.34610674,-0.21632048,-0.75044,0.08136,-0.65591,-0.26414,0.87277,0.41048,0.60586,0.4813,-0.63348
123.06770658300957,0.19360998000000001,0.14724357,0.42273958999999994,0.17786252,-0.12535328,0.44066498,-0.76119816,-0.26424283,0.59224415,0.0424883,0.89094293,0.4521232,-0.6471261,0.36931878,-0.6669569,-0.13335983,-0.27055794,-0.953422,-0.27055794,0.8953806,-0.19831881,-0.953422,0.35368338,-0.22727977,-0.75011,0.08139,-0.65628,-0.26426,0.87283,0.41029,0.60622,0.48119,-0.63321
123.08444967100513,0.19096103,0.14979163999999998,0.42047352000000005,0.17510803,-0.12786546,0.43691653,-0.7613454,-0.25497395,0.5961053,0.047009505,0.8952944,0.4429876,-0.64664,0.36528918,-0.6696421,-0.1397367,-0.25509298,-0.956766,-0.25509298,0.8953815,-0.17918801,-0.956766,0.36499253,-0.2291079,-0.75059,0.08262,-0.65558,-0.26301,0.87281,0.41112,0.60617,0.48101,-0.63339
123.10134705199744,0.18813187,0.15203785,0.4183306200000001,0.17264503,-0.12984875,0.4334523,-0.75767356,-0.26436034,0.5966945,0.047235772,0.88967603,0.45414248,-0.65092206,0.37227708,-0.6615967,-0.13995726,-0.26427665,-0.9542378,-0.26427665,0.88961303,-0.1851437,-0.9542378,0.37248686,-0.23484464,-0.75237,0.08322,-0.65347,-0.26326,0.87134,0.41407,0.60385,0.48356,-0.63366
123.118060659006,0.1866227,0.15306652999999998,0.4172647999999999,0.17227615,-0.13397309,0.4370417,-0.7586147,-0.2693513,0.5932568,0.043794215,0.88740665,0.45890257,-0.650066,0.37411144,-0.66140366,-0.1514343,-0.2671314,-0.95168716,-0.2671314,0.8856826,-0.18053967,-0.95168716,0.37974623,-0.24838872,-0.75453,0.08397,-0.65087,-0.26287,0.87007,0.41698,0.60132,0.48572,-0.63442
123.65562524899724,0.10240889,0.12574352,0.38440552000000006,0.081478596,-0.11498195,0.38134778,-0.77652097,-0.21406734,0.59261316,0.120239414,0.8728923,0.47286522,-0.6185125,0.4384452,-0.6520798,-0.46792004,-0.26278374,-0.8437983,-0.26278374,0.9416211,-0.11849489,-0.8437983,0.21046235,-0.52341515,-0.75457,0.162,-0.63591,-0.21262,0.85642,0.47047,0.62082,0.4902,-0.61178
123.67242310300935,0.09957814000000001,0.1233966,0.3830839800000001,0.07833743,-0.11277731,0.3796772,-0.7703272,-0.20514205,0.6037489,0.12548836,0.8795478,0.4589645,-0.62517893,0.42931628,-0.65179664,-0.4709227,-0.25093648,-0.84573203,-0.25093648,0.9455782,-0.11005183,-0.84573203,0.20715375,-0.5221359,-0.7544,0.16497,-0.63535,-0.20956,0.85673,0.47128,0.62207,0.48867,-0.61175
123.68922448498779,0.09833443,0.12225624999999998,0.38230381000000024,0.07513913,-0.11030709,0.37611455,-0.78208715,-0.20310383,0.5891422,0.12593354,0.8743801,0.4686151,-0.61031175,0.4406906,-0.65826386,-0.49685186,-0.25406337,-0.82981324,-0.25406337,0.94919294,-0.1152901,-0.82981324,0.18570006,-0.546002,-0.75293,0.16683,-0.6366,-0.20732,0.85796,0.47003,0.62459,0.48588,-0.6114
123.70601905000512,0.09607955,0.12002067999999999,0.38057110000000005,0.073673986,-0.110302456,0.38130212,-0.77617574,-0.19977175,0.5980321,0.12493457,0.88094497,0.45642883,-0.618015,0.4289839,-0.6588098,-0.49886587,-0.24649648,-0.8308865,-0.24649648,0.95088226,-0.10789408,-0.8308865,0.18724951,-0.54588145,-0.74872,0.17054,-0.64057,-0.20254,0.86128,0.46603,0.63118,0.47866,-0.61032
123.7228230900073,0.09397793,0.11759421999999999,0.37875542000000006,0.070854165,-0.10759873,0.37789553,-0.7783881,-0.19861288,0.5955375,0.1274581,0.87888,0.45970032,-0.61470836,0.43373132,-0.65879494,-0.5108982,-0.24762426,-0.8232043,-0.24762426,0.95344,-0.1133557,-0.8232043,0.17214648,-0.55631393,-0.74647,0.17385,-0.6423,-0.20035,0.86175,0.4661,0.63454,0.47661,-0.60844
123.73961839498952,0.09286598,0.11627686999999999,0.3778419100000001,0.06846035,-0.105360605,0.37492517,-0.7715526,-0.19838716,0.60444117,0.13412932,0.8780437,0.45940027,-0.62186486,0.43552476,-0.6508474,-0.50867844,-0.24843983,-0.8243324,-0.24843983,0.9550909,-0.120916486,-0.8243324,0.16149008,-0.5530418,-0.7473,0.1757,-0.64083,-0.19964,0.86048,0.46873,0.63378,0.47822,-0.60797
123.7564433469961,0.09053341000000001,0.11356868999999999,0.37615716999999993,0.06633569,-0.103118,0.37231866,-0.7704684,-0.18388718,0.6103802,0.13260639,0.8903152,0.43560815,-0.6235335,0.41656262,-0.6615751,-0.51428866,-0.22810647,-0.82672524,-0.22810647,0.95900387,-0.099545226,-0.82672524,0.16816361,-0.5537293,-0.74984,0.17899,-0.63695,-0.19905,0.85708,0.47517,0.63097,0.48309,-0.60705
123.7732366049895,0.0881389,0.11087599,0.3747208499999999,0.065151736,-0.102399245,0.37525448,-0.7675054,-0.19286822,0.6113406,0.1305272,0.8866689,0.44359985,-0.627613,0.42026186,-0.65534866,-0.5170823,-0.23836301,-0.822076,-0.23836301,0.95819205,-0.11229932,-0.822076,0.15827525,-0.5581934,-0.75089,0.18235,-0.63476,-0.19742,0.85521,0.47921,0.63024,0.48515,-0.60616
123.79012677198625,0.08569816000000001,0.10835145999999998,0.3735394200000002,0.06309399,-0.09986246,0.3721357,-0.76036453,-0.1929104,0.62018657,0.13624501,0.886253,0.44271085,-0.6350457,0.42111894,-0.6475923,-0.51462364,-0.23945184,-0.8233015,-0.23945184,0.959918,-0.12122391,-0.8233015,0.14567147,-0.55450827,-0.7491,0.18617,-0.63576,-0.19246,0.85715,0.47776,0.63389,0.48024,-0.60626
123.80684041799395,0.08447884000000001,0.10712138999999998,0.3730386000000001,0.061652772,-0.09857275,0.37360173,-0.7759116,-0.18740422,0.6023627,0.13393866,0.88414645,0.44759965,-0.6164589,0.4279774,-0.66091883,-0.5408894,-0.23650506,-0.807158,-0.23650506,0.9627695,-0.119669795,-0.807158,0.13092077,-0.5780788,-0.74733,0.18831,-0.63721,-0.18941,0.85884,0.47594,0.63689,0.47638,-0.60617
123.82367128398619,0.08193391,0.10460098999999999,0.37226270000000006,0.059492778,-0.09614741,0.37252456,-0.7762836,-0.1821978,0.6034797,0.14246672,0.88184565,0.44950134,-0.6140741,0.4349163,-0.6586052,-0.54948676,-0.2342698,-0.8019863,-0.2342698,0.9660269,-0.1285893,-0.8019863,0.109131336,-0.58333766,-0.74408,0.19155,-0.64004,-0.18379,0.86236,0.47176,0.64231,0.46866,-0.60646
123.8404381609871,0.07917175000000001,0.10185476999999998,0.3718370099999999,0.057206325,-0.09370186,0.36952543,-0.76888317,-0.18221755,0.61287475,0.14756557,0.8820828,0.44738612,-0.6221279,0.43442684,-0.6513296,-0.5476322,-0.23398356,-0.8033372,-0.23398356,0.96711224,-0.13453756,-0.8033372,0.09972752,-0.58012843,-0.74365,0.1943,-0.63971,-0.18032,0.86309,0.47176,0.64379,0.46618,-0.6068
123.85723643598612,0.07766504,0.10032836999999999,0.37171615000000013,0.0552261,-0.091860145,0.36940175,-0.77100843,-0.1795944,0.61097616,0.14429301,0.88519055,0.44228634,-0.62026244,0.42916608,-0.6565752,-0.55872196,-0.2297905,-0.79688525,-0.2297905,0.9688107,-0.13258614,-0.79688525,0.092747875,-0.5894021,-0.74582,0.19572,-0.63675,-0.17973,0.86129,0.47526,0.64145,0.4689,-0.60719
123.87404746600077,0.07453483000000001,0.09724316,0.37174600000000013,0.052976064,-0.08940051,0.3673494,-0.7598605,-0.17526975,0.62601316,0.15013237,0.88962585,0.4313075,-0.6325126,0.4217184,-0.6496779,-0.55187505,-0.2232492,-0.80348843,-0.2232492,0.9706793,-0.1314918,-0.80348843,0.08911517,-0.58061713,-0.75114,0.19784,-0.6298,-0.17901,0.85724,0.48279,0.63541,0.47539,-0.60849
123.89084198998171,0.07140385,0.09427370999999998,0.37203783,0.050946906,-0.08785549,0.3690176,-0.7535981,-0.17346016,0.6340359,0.15426418,0.8909476,0.4271006,-0.6389777,0.41967124,-0.64465773,-0.55398583,-0.22053151,-0.8027861,-0.22053151,0.9722655,-0.13557725,-0.8027861,0.0778828,-0.58064896,-0.75361,0.20004,-0.62614,-0.17616,0.85626,0.48559,0.63327,0.47625,-0.61005
